0.33,0.664
0.4,0.681
0.5,0.699
0.53,0.704
0.57,0.707
0.66,0.706
0.8,0.699
0.9,0.676
0.95,0.659
1,0.64
1.05,0.657
1.1,0.67
1.25,0.7
1.5,0.716
1.75,0.713
2,0.706
2.25,0.695
2.5,0.688
3,0.667
